Produkt;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10
Gat1;5;4;4;5;5;6;6;5;5;4
Gat2;6;5;4;5;5;6;7;5;5;5
Gat3;5;4;5;5;5;6;6;6;5;4
Gat4;5;4;4;5;5;6;6;5;5;4
Gat5;6;3;5;5;5;6;6;5;5;4
Gat6;6;2;6;5;5;6;7;6;5;5
Gat7;6;5;4;5;5;6;6;5;5;5
Gat8;5;4;4;5;5;6;6;5;5;4
Gat9;4;3;4;5;6;6;6;5;5;4
Gat10;6;5;4;6;6;6;7;5;6;4
Gat11;7;7;3;4;4;4;6;4;4;3
Gat12;5;5;4;5;5;5;6;5;5;4
Gat13;5;5;4;5;5;5;6;5;5;4
Gat14;4;4;4;5;4;4;5;4;4;3
Gat15;6;4;5;6;6;6;6;5;6;4
Gat16;6;4;4;6;6;6;6;5;6;5
Gat17;5;3;4;6;6;6;6;6;6;4
Gat18;5;5;4;5;5;5;6;5;4;4
